Region Code: OA,,,,,,,,,
Region Name: Oceania,,,,,,,,,
Country Code: AUS,,,,,,,,,
Country Name: Australia,,,,,,,,,
Export date: 6/10/2025 7:18:47 AM,,,,,,,,,
"Source location: ""WHO Mortality Database portal""",,,,,,,,,
Metadata information: ,,,,,,,,,
,,,,,,,,,
Indicator Code,Indicator Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
CG0670,"Trachea, bronchus, lung cancers",2015,All,Age40_44,[40-44],73,3.41440599,,4.41031652
CG0670,"Trachea, bronchus, lung cancers",2015,All,Age45_49,[45-49],149,5.08012274,,9.54009079
CG0670,"Trachea, bronchus, lung cancers",2015,All,Age50_54,[50-54],327,7.4640493,,20.9625194
CG0670,"Trachea, bronchus, lung cancers",2015,All,Age55_59,[55-59],579,9.68551355,,40.05168674
CG0670,"Trachea, bronchus, lung cancers",2015,All,Age60_64,[60-64],870,10.98068913,,67.85398135
CG0670,"Trachea, bronchus, lung cancers",2015,All,Age65_69,[65-69],1190,10.78875793,,102.9074378
CG0670,"Trachea, bronchus, lung cancers",2015,All,Age70_74,[70-74],1424,10.56223112,,167.4681381
CG0670,"Trachea, bronchus, lung cancers",2015,All,Age75_79,[75-79],1353,7.6813898,,214.5807033
CG0670,"Trachea, bronchus, lung cancers",2015,All,Age80_84,[80-84],1197,5.1243632,,267.1058181
CG0670,"Trachea, bronchus, lung cancers",2015,All,Age85_over,[85+],1267,1.97364322,,270.1809381
CG0670,"Trachea, bronchus, lung cancers",2023,All,Age00,[0],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2023,All,Age01_04,[1-4],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2023,All,Age05_09,[5-9],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2023,All,Age10_14,[10-14],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2023,All,Age15_19,[15-19],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2023,All,Age20_24,[20-24],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2023,All,Age25_29,[25-29],1,0.11173184,,0.05203864
CG0670,"Trachea, bronchus, lung cancers",2023,All,Age30_34,[30-34],14,1.27041742,,0.7061463
CG0670,"Trachea, bronchus, lung cancers",2023,All,Age35_39,[35-39],24,1.66320166,,1.23847573
CG0670,"Trachea, bronchus, lung cancers",2023,All,Age40_44,[40-44],57,2.75495408,,3.20189462
CG0670,"Trachea, bronchus, lung cancers",2023,All,Age45_49,[45-49],101,3.63832853,,6.25695002
CG0670,"Trachea, bronchus, lung cancers",2023,All,Age50_54,[50-54],212,4.81380563,,12.61689974
CG0670,"Trachea, bronchus, lung cancers",2023,All,Age55_59,[55-59],468,7.90006752,,30.71666307
CG0670,"Trachea, bronchus, lung cancers",2023,All,Age60_64,[60-64],861,9.74974522,,56.76794569
CG0670,"Trachea, bronchus, lung cancers",2023,All,Age65_69,[65-69],1249,10.36084612,,94.1255555
CG0670,"Trachea, bronchus, lung cancers",2023,All,Age70_74,[70-74],1446,8.77693475,,125.1859175
CG0670,"Trachea, bronchus, lung cancers",2023,All,Age75_79,[75-79],1654,7.18974136,,177.6702638
CG0670,"Trachea, bronchus, lung cancers",2023,All,Age80_84,[80-84],1413,5.1190088,,242.3304887
CG0670,"Trachea, bronchus, lung cancers",2023,All,Age85_over,[85+],1476,1.99314014,,263.1747866
CG0670,"Trachea, bronchus, lung cancers",2022,All,Age00,[0],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2022,All,Age01_04,[1-4],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2022,All,Age05_09,[5-9],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2022,All,Age10_14,[10-14],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2022,All,Age15_19,[15-19],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2022,All,Age20_24,[20-24],1,0.13774105,,0.06108601
CG0670,"Trachea, bronchus, lung cancers",2022,All,Age25_29,[25-29],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2022,All,Age30_34,[30-34],14,1.18845501,,0.73130192
CG0670,"Trachea, bronchus, lung cancers",2022,All,Age35_39,[35-39],24,1.55945419,,1.26715276
CG0670,"Trachea, bronchus, lung cancers",2022,All,Age40_44,[40-44],46,2.23953262,,2.6985629
CG0670,"Trachea, bronchus, lung cancers",2022,All,Age45_49,[45-49],100,3.40251786,,6.16629258
CG0670,"Trachea, bronchus, lung cancers",2022,All,Age50_54,[50-54],217,4.78606087,,13.1245978
CG0670,"Trachea, bronchus, lung cancers",2022,All,Age55_59,[55-59],492,7.90869635,,32.0818583
CG0670,"Trachea, bronchus, lung cancers",2022,All,Age60_64,[60-64],898,9.75133022,,60.19783502
CG0670,"Trachea, bronchus, lung cancers",2022,All,Age65_69,[65-69],1185,9.69008096,,90.99886808
CG0670,"Trachea, bronchus, lung cancers",2022,All,Age70_74,[70-74],1481,8.56118851,,129.4889427
CG0670,"Trachea, bronchus, lung cancers",2022,All,Age75_79,[75-79],1734,7.48801658,,198.3382594
CG0670,"Trachea, bronchus, lung cancers",2022,All,Age80_84,[80-84],1421,5.03918579,,251.0294681
CG0670,"Trachea, bronchus, lung cancers",2022,All,Age85_over,[85+],1438,1.82163669,,261.9360315
CG0670,"Trachea, bronchus, lung cancers",2021,All,Age00,[0],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2021,All,Age01_04,[1-4],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2021,All,Age05_09,[5-9],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2021,All,Age10_14,[10-14],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2021,All,Age15_19,[15-19],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2021,All,Age20_24,[20-24],1,0.14265335,,0.06161794
CG0670,"Trachea, bronchus, lung cancers",2021,All,Age25_29,[25-29],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2021,All,Age30_34,[30-34],6,0.54945055,,0.31591667
CG0670,"Trachea, bronchus, lung cancers",2021,All,Age35_39,[35-39],16,1.13394755,,0.85694576
CG0670,"Trachea, bronchus, lung cancers",2021,All,Age40_44,[40-44],48,2.61437908,,2.90136975
CG0670,"Trachea, bronchus, lung cancers",2021,All,Age45_49,[45-49],92,3.25779037,,5.57587923
CG0670,"Trachea, bronchus, lung cancers",2021,All,Age50_54,[50-54],238,5.73355818,,14.7666039
CG0670,"Trachea, bronchus, lung cancers",2021,All,Age55_59,[55-59],543,8.93385982,,35.01411849
CG0670,"Trachea, bronchus, lung cancers",2021,All,Age60_64,[60-64],871,10.49903568,,59.43526265
CG0670,"Trachea, bronchus, lung cancers",2021,All,Age65_69,[65-69],1132,10.07565643,,88.40469357
CG0670,"Trachea, bronchus, lung cancers",2021,All,Age70_74,[70-74],1521,9.33873642,,132.6268042
CG0670,"Trachea, bronchus, lung cancers",2021,All,Age75_79,[75-79],1506,7.62802006,,186.5544532
CG0670,"Trachea, bronchus, lung cancers",2021,All,Age80_84,[80-84],1265,5.00237267,,231.9322061
CG0670,"Trachea, bronchus, lung cancers",2021,All,Age85_over,[85+],1438,2.06117593,,269.1734615
CG0670,"Trachea, bronchus, lung cancers",2020,All,Age00,[0],1,0.10604454,,0.33724197
CG0670,"Trachea, bronchus, lung cancers",2020,All,Age01_04,[1-4],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2020,All,Age05_09,[5-9],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2020,All,Age10_14,[10-14],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2020,All,Age15_19,[15-19],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2020,All,Age20_24,[20-24],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2020,All,Age25_29,[25-29],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2020,All,Age30_34,[30-34],8,0.71364853,,0.41908931
CG0670,"Trachea, bronchus, lung cancers",2020,All,Age35_39,[35-39],15,1.02739726,,0.81499238
CG0670,"Trachea, bronchus, lung cancers",2020,All,Age40_44,[40-44],34,1.87637969,,2.0972611
CG0670,"Trachea, bronchus, lung cancers",2020,All,Age45_49,[45-49],121,4.1781768,,7.19014059
CG0670,"Trachea, bronchus, lung cancers",2020,All,Age50_54,[50-54],246,6.18867925,,15.68553437
CG0670,"Trachea, bronchus, lung cancers",2020,All,Age55_59,[55-59],512,8.68680014,,32.67187673
CG0670,"Trachea, bronchus, lung cancers",2020,All,Age60_64,[60-64],854,10.42735043,,59.32512461
CG0670,"Trachea, bronchus, lung cancers",2020,All,Age65_69,[65-69],1103,10.40369742,,87.34682629
CG0670,"Trachea, bronchus, lung cancers",2020,All,Age70_74,[70-74],1508,9.71461702,,135.7270985
CG0670,"Trachea, bronchus, lung cancers",2020,All,Age75_79,[75-79],1504,8.13500649,,195.8292536
CG0670,"Trachea, bronchus, lung cancers",2020,All,Age80_84,[80-84],1223,5.22359373,,232.1850646
CG0670,"Trachea, bronchus, lung cancers",2020,All,Age85_over,[85+],1348,2.09105716,,259.6226997
CG0670,"Trachea, bronchus, lung cancers",2019,All,Age00,[0],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2019,All,Age01_04,[1-4],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2019,All,Age05_09,[5-9],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2019,All,Age10_14,[10-14],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2019,All,Age15_19,[15-19],1,0.20964361,,0.06689742
CG0670,"Trachea, bronchus, lung cancers",2019,All,Age20_24,[20-24],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2019,All,Age25_29,[25-29],2,0.20790021,,0.10569467
CG0670,"Trachea, bronchus, lung cancers",2019,All,Age30_34,[30-34],9,0.80357143,,0.47710961
CG0670,"Trachea, bronchus, lung cancers",2019,All,Age35_39,[35-39],20,1.34498991,,1.12002527
CG0670,"Trachea, bronchus, lung cancers",2019,All,Age40_44,[40-44],46,2.28514655,,2.87659471
CG0670,"Trachea, bronchus, lung cancers",2019,All,Age45_49,[45-49],127,3.98994659,,7.5432833
CG0670,"Trachea, bronchus, lung cancers",2019,All,Age50_54,[50-54],254,6.23007113,,16.48477171
CG0670,"Trachea, bronchus, lung cancers",2019,All,Age55_59,[55-59],557,8.8482923,,35.84974516
CG0670,"Trachea, bronchus, lung cancers",2019,All,Age60_64,[60-64],941,10.78015809,,67.50566911
CG0670,"Trachea, bronchus, lung cancers",2019,All,Age65_69,[65-69],1132,10.02746036,,91.98592908
CG0670,"Trachea, bronchus, lung cancers",2019,All,Age70_74,[70-74],1540,9.76847447,,145.0883814
CG0670,"Trachea, bronchus, lung cancers",2019,All,Age75_79,[75-79],1553,8.19525066,,212.9199788
CG0670,"Trachea, bronchus, lung cancers",2019,All,Age80_84,[80-84],1262,5.21487603,,250.3963286
CG0670,"Trachea, bronchus, lung cancers",2019,All,Age85_over,[85+],1381,2.02656101,,271.9954937
CG0670,"Trachea, bronchus, lung cancers",2018,All,Age00,[0],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2018,All,Age01_04,[1-4],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2018,All,Age05_09,[5-9],1,0.97087379,,0.06231632
CG0670,"Trachea, bronchus, lung cancers",2018,All,Age10_14,[10-14],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2018,All,Age15_19,[15-19],1,0.21786492,,0.06719094
CG0670,"Trachea, bronchus, lung cancers",2018,All,Age20_24,[20-24],1,0.14513788,,0.0577877
CG0670,"Trachea, bronchus, lung cancers",2018,All,Age25_29,[25-29],3,0.36991369,,0.1605042
CG0670,"Trachea, bronchus, lung cancers",2018,All,Age30_34,[30-34],5,0.47483381,,0.26885059
CG0670,"Trachea, bronchus, lung cancers",2018,All,Age35_39,[35-39],14,0.94594595,,0.81121846
CG0670,"Trachea, bronchus, lung cancers",2018,All,Age40_44,[40-44],46,2.49593055,,2.88421145
CG0670,"Trachea, bronchus, lung cancers",2018,All,Age45_49,[45-49],133,4.60845461,,7.93602963
CG0670,"Trachea, bronchus, lung cancers",2018,All,Age50_54,[50-54],274,6.86372745,,17.88531596
CG0670,"Trachea, bronchus, lung cancers",2018,All,Age55_59,[55-59],610,10.08931525,,39.77849249
CG0670,"Trachea, bronchus, lung cancers",2018,All,Age60_64,[60-64],850,10.51459673,,62.51797392
CG0670,"Trachea, bronchus, lung cancers",2018,All,Age65_69,[65-69],1271,11.78707224,,105.0539114
CG0670,"Trachea, bronchus, lung cancers",2018,All,Age70_74,[70-74],1506,10.14824798,,147.9855395
CG0670,"Trachea, bronchus, lung cancers",2018,All,Age75_79,[75-79],1407,7.9245283,,201.7629522
CG0670,"Trachea, bronchus, lung cancers",2018,All,Age80_84,[80-84],1219,5.37241075,,251.5938751
CG0670,"Trachea, bronchus, lung cancers",2018,All,Age85_over,[85+],1259,1.97140754,,252.4275349
CG0670,"Trachea, bronchus, lung cancers",2017,All,Age00,[0],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2017,All,Age01_04,[1-4],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2017,All,Age05_09,[5-9],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2017,All,Age10_14,[10-14],1,0.71428571,,0.06786549
CG0670,"Trachea, bronchus, lung cancers",2017,All,Age15_19,[15-19],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2017,All,Age20_24,[20-24],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2017,All,Age25_29,[25-29],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2017,All,Age30_34,[30-34],7,0.63233966,,0.38181992
CG0670,"Trachea, bronchus, lung cancers",2017,All,Age35_39,[35-39],19,1.33053221,,1.14301734
CG0670,"Trachea, bronchus, lung cancers",2017,All,Age40_44,[40-44],52,2.6183283,,3.24025695
CG0670,"Trachea, bronchus, lung cancers",2017,All,Age45_49,[45-49],117,3.89740173,,7.09091769
CG0670,"Trachea, bronchus, lung cancers",2017,All,Age50_54,[50-54],269,6.68821482,,17.4916687
CG0670,"Trachea, bronchus, lung cancers",2017,All,Age55_59,[55-59],510,8.67642055,,33.82232008
CG0670,"Trachea, bronchus, lung cancers",2017,All,Age60_64,[60-64],863,11.04993598,,64.77242961
CG0670,"Trachea, bronchus, lung cancers",2017,All,Age65_69,[65-69],1198,10.87805321,,100.2410639
CG0670,"Trachea, bronchus, lung cancers",2017,All,Age70_74,[70-74],1471,10.11761469,,153.6308473
CG0670,"Trachea, bronchus, lung cancers",2017,All,Age75_79,[75-79],1334,7.40247489,,197.3442844
CG0670,"Trachea, bronchus, lung cancers",2017,All,Age80_84,[80-84],1071,4.64964835,,228.6048487
CG0670,"Trachea, bronchus, lung cancers",2017,All,Age85_over,[85+],1353,2.05682492,,275.7954344
