Region Code: OA,,,,,,,,,
Region Name: Oceania,,,,,,,,,
Country Code: AUS,,,,,,,,,
Country Name: Australia,,,,,,,,,
Export date: 6/10/2025 7:18:47 AM,,,,,,,,,
"Source location: ""WHO Mortality Database portal""",,,,,,,,,
Metadata information: ,,,,,,,,,
,,,,,,,,,
Indicator Code,Indicator Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
CG0670,"Trachea, bronchus, lung cancers",2006,All,Age00,[0],1,0.0792393,,0.38825452
CG0670,"Trachea, bronchus, lung cancers",2006,All,Age01_04,[1-4],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2006,All,Age05_09,[5-9],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2006,All,Age10_14,[10-14],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2006,All,Age15_19,[15-19],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2006,All,Age20_24,[20-24],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2006,All,Age25_29,[25-29],5,0.64267352,,0.36454733
CG0670,"Trachea, bronchus, lung cancers",2006,All,Age30_34,[30-34],6,0.57636888,,0.39579194
CG0670,"Trachea, bronchus, lung cancers",2006,All,Age35_39,[35-39],20,1.45560408,,1.34885051
CG0670,"Trachea, bronchus, lung cancers",2006,All,Age40_44,[40-44],66,3.40030912,,4.27861567
CG0670,"Trachea, bronchus, lung cancers",2006,All,Age45_49,[45-49],184,6.38445524,,12.55760117
CG0670,"Trachea, bronchus, lung cancers",2006,All,Age50_54,[50-54],322,8.51626554,,24.05708552
CG0670,"Trachea, bronchus, lung cancers",2006,All,Age55_59,[55-59],552,10.1957887,,44.5662301
CG0670,"Trachea, bronchus, lung cancers",2006,All,Age60_64,[60-64],835,12.28121783,,88.40216527
CG0670,"Trachea, bronchus, lung cancers",2006,All,Age65_69,[65-69],970,11.20480536,,127.2431525
CG0670,"Trachea, bronchus, lung cancers",2006,All,Age70_74,[70-74],1158,9.88476312,,185.2213219
CG0670,"Trachea, bronchus, lung cancers",2006,All,Age75_79,[75-79],1321,7.30722425,,240.5461362
CG0670,"Trachea, bronchus, lung cancers",2006,All,Age80_84,[80-84],1143,4.78703355,,288.8566533
CG0670,"Trachea, bronchus, lung cancers",2006,All,Age85_over,[85+],770,1.73960192,,252.3589002
CG0670,"Trachea, bronchus, lung cancers",2007,All,Age00,[0],1,0.08312552,,0.36170421
CG0670,"Trachea, bronchus, lung cancers",2007,All,Age01_04,[1-4],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2007,All,Age05_09,[5-9],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2007,All,Age10_14,[10-14],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2007,All,Age15_19,[15-19],1,0.19305019,,0.06908382
CG0670,"Trachea, bronchus, lung cancers",2007,All,Age20_24,[20-24],3,0.38363171,,0.19888281
CG0670,"Trachea, bronchus, lung cancers",2007,All,Age25_29,[25-29],3,0.34285714,,0.20607354
CG0670,"Trachea, bronchus, lung cancers",2007,All,Age30_34,[30-34],9,0.85470085,,0.61000737
CG0670,"Trachea, bronchus, lung cancers",2007,All,Age35_39,[35-39],22,1.49965917,,1.40139349
CG0670,"Trachea, bronchus, lung cancers",2007,All,Age40_44,[40-44],79,4.19766206,,5.18972723
CG0670,"Trachea, bronchus, lung cancers",2007,All,Age45_49,[45-49],162,5.56127703,,10.63023515
CG0670,"Trachea, bronchus, lung cancers",2007,All,Age50_54,[50-54],331,8.3480454,,23.86159984
CG0670,"Trachea, bronchus, lung cancers",2007,All,Age55_59,[55-59],531,9.70927043,,41.82571202
CG0670,"Trachea, bronchus, lung cancers",2007,All,Age60_64,[60-64],868,11.80952381,,81.52554201
CG0670,"Trachea, bronchus, lung cancers",2007,All,Age65_69,[65-69],1044,11.54867257,,129.249511
CG0670,"Trachea, bronchus, lung cancers",2007,All,Age70_74,[70-74],1153,9.84124274,,178.3043917
CG0670,"Trachea, bronchus, lung cancers",2007,All,Age75_79,[75-79],1459,8.03281396,,263.8560601
CG0670,"Trachea, bronchus, lung cancers",2007,All,Age80_84,[80-84],1158,4.79940318,,278.9756438
CG0670,"Trachea, bronchus, lung cancers",2007,All,Age85_over,[85+],811,1.73242475,,237.2510473
CG0670,"Trachea, bronchus, lung cancers",2008,All,Age00,[0],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2008,All,Age01_04,[1-4],0,0,,0
